"log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id","ProteinName","label"
-5.77164796270632,14.4652929303279,-472.298815507207,2.04814328838399e-26,2.04814328838399e-25,51.0600533017872,"Q8DVV3","Glyceraldehyde-3-phosphate dehydrogenase ","Glyceraldehyde-3-phosphate dehydrogenase "
5.75144675401622,14.2773491811179,402.929626429271,1.31444199947941e-25,6.57220999739707e-25,49.1588596194829,"Q8DUR6","Reductase","Reductase"
5.66233031622113,14.2326987791597,379.183944051353,2.67584382564276e-25,8.91947941880921e-25,48.5020397242521,"P11701","Levansucrase ","Levansucrase "
5.77232674674042,14.2879222690086,365.491097752888,4.11523592242669e-25,1.02880898060667e-24,48.1630210157453,"Q8DWM3","Secreted antigen GbpB/SagA putative peptidoglycan hydrolase","Secreted antigen GbpB/SagA putative peptidoglycan hydrolase"
-5.45549805708202,14.306752243948,-287.283987619123,6.88801273714607e-24,1.37760254742921e-23,45.5012466422164,"Q8DW96","SpoVT-AbrB domain-containing protein","SpoVT-AbrB domain-containing protein"
-5.50873639672568,14.3343676939058,-225.664617207455,1.16150380202783e-22,1.93583967004638e-22,42.6462978353724,"Q9XB21","DNA-binding protein HU","DNA-binding protein HU"
0.439968977701591,17.0407183671761,26.1155156187976,9.70440806346584e-12,1.38634400906655e-11,15.9110605431733,"Q8CVC7","40K cell wall protein","40K cell wall protein"
-0.16702729386359,17.2223419685979,-10.7905884544044,1.96741010292653e-07,2.45926262865816e-07,5.15780206830423,"Q8DTS9","Enolase ","Enolase "
-0.149227757925049,17.1797791400639,-9.10937834950069,1.17354790267266e-06,1.30394211408073e-06,3.24356903393251,"Q8DVV2","Phosphoglycerate kinase ","Phosphoglycerate kinase "
0.0397226779804066,17.0980724219224,2.02731177886253,0.0660281403558518,0.0660281403558518,-8.08151848617069,"P23504","Cell surface antigen I/II ","Cell surface antigen I/II "
0.0397226779804066,17.0980724219224,2.02731177886253,0.0660281403558518,0.0660281403558518,-8.08151848617069,"P23504","Cell surface antigen I/II [Cleaved into: Cell surface antigen I; Cell surface antigen II]","Cell surface antigen I/II [Cleaved into: Cell surface antigen I; Cell surface antigen II]"
