From,Entry,Reviewed,Entry Name,Protein names,Protein names1,Gene Names,Organism,Length,biological_process,cellular_component,molecular_function,Intramembrane,Subcellular location [CC],Transmembrane,Topological domain,Annotation
Q8DVV3,Q8DVV3,unreviewed,Q8DVV3_STRMU,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-),Glyceraldehyde-3-phosphate dehydrogenase ,gapC SMU_360,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),337,glucose metabolic process [GO:0006006],cytoplasm [GO:0005737],glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,3
Q8DTS9,Q8DTS9,reviewed,ENO_STRMU,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),Enolase ,eno SMU_1247,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),432,glycolytic process [GO:0006096],cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; phosphopyruvate hydratase complex [GO:0000015],magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; zymogen binding [GO:0035375],,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15501816}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15501816}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15501816}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface (PubMed:15501816). Once secreted, it remains attached to the cell surface (PubMed:15501816). {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15501816}.",,,5
P72483,P72483,reviewed,EFTU_STRMU,Elongation factor Tu (EF-Tu),Elongation factor Tu ,tuf SMU_714,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),398,,cytosol [GO:0005829],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00118}.,,,3
O06942,O06942,reviewed,DNAK_STRMU,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),Chaperone protein DnaK ,dnaK SMU_82,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),612,,,ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082],,,,,2
Q8DVV2,Q8DVV2,reviewed,PGK_STRMU,Phosphoglycerate kinase (EC 2.7.2.3),Phosphoglycerate kinase ,pgk SMU_361,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),398,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310],cytosol [GO:0005829],ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00145}.,,,3
Q8DTX7,Q8DTX7,unreviewed,Q8DTX7_STRMU,Pyruvate kinase (EC 2.7.1.40),Pyruvate kinase ,pykF SMU_1190,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),500,phosphorylation [GO:0016310],cytosol [GO:0005829],ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],,,,,2
Q8DUG9,Q8DUG9,reviewed,RL7_STRMU,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12),Large ribosomal subunit protein bL12 ,rplL SMU_960,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),122,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735],,,,,2
Q8CWW6,Q8CWW6,reviewed,CH60_STRMU,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),Chaperonin GroEL ,groEL groL SMU_1954,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),542,chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408],GroEL-GroES complex [GO:1990220],ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,,,3
Q8DWG0,Q8DWG0,unreviewed,Q8DWG0_STRMU,Fructose-bisphosphate aldolase,Fructose-bisphosphate aldolase,fbaA SMU_99,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),293,"fructose 1,6-bisphosphate metabolic process [GO:0030388]; glycolytic process [GO:0006096]",,fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270],,,,,2
Q8DW43,Q8DW43,reviewed,ILVC_STRMU,Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I),Ketol-acid reductoisomerase ,ilvC SMU_233,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),340,isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],cytosol [GO:0005829],ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661],,,,,4
Q8DTW9,Q8DTW9,unreviewed,Q8DTW9_STRMU,Ribosomal protein S1 sequence specific DNA-binding protein,Ribosomal protein S1 sequence specific DNA-binding protein,rs1 SMU_1200,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),399,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],DNA binding [GO:0003677]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DSW7,Q8DSW7,unreviewed,Q8DSW7_STRMU,CsbD-like domain-containing protein,CsbD-like domain-containing protein,SMU_1641c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),66,,,,,,,,1
Q8DU72,Q8DU72,unreviewed,Q8DU72_STRMU,Phosphoglucomutase (EC 5.4.2.2) (Alpha-phosphoglucomutase) (Glucose phosphomutase),Phosphoglucomutase ,pgm SMU_1077,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),571,carbohydrate metabolic process [GO:0005975]; purine ribonucleoside salvage [GO:0006166],,magnesium ion binding [GO:0000287]; phosphopentomutase activity [GO:0008973],,,,,2
G1XVB9,G1XVB9,unreviewed,G1XVB9_STRMU,Large ribosomal subunit protein uL2,Large ribosomal subunit protein uL2,rplB SMU_2167,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),279,cytoplasmic translation [GO:0002181],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740],,,,,2
Q8DVV5,Q8DVV5,reviewed,RS7_STRMU,Small ribosomal subunit protein uS7 (30S ribosomal protein S7),Small ribosomal subunit protein uS7 ,rpsG SMU_358,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),156,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],,,,,2
Q8CWZ6,Q8CWZ6,reviewed,TIG_STRMU,Trigger factor (TF) (EC 5.2.1.8) (PPIase),Trigger factor ,tig SMU_91,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),427,'de novo' cotranslational protein folding [GO:0051083]; cell division [GO:0051301]; chaperone-mediated protein folding [GO:0061077]; protein transport [GO:0015031]; protein unfolding [GO:0043335],cytoplasm [GO:0005737],peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022],,SUBCELLULAR LOCATION: Cytoplasm. Note=About half TF is bound to the ribosome near the polypeptide exit tunnel while the other half is free in the cytoplasm. {ECO:0000255|HAMAP-Rule:MF_00303}.,,,3
Q8DS31,Q8DS31,reviewed,RL15_STRMU,Large ribosomal subunit protein uL15 (50S ribosomal protein L15),Large ribosomal subunit protein uL15 ,rplO SMU_2007,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),146,translation [GO:0006412],large ribosomal subunit [GO:0015934],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DS35,Q8DS35,reviewed,RS13_STRMU,Small ribosomal subunit protein uS13 (30S ribosomal protein S13),Small ribosomal subunit protein uS13 ,rpsM rs13 SMU_2003,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),121,translation [GO:0006412],cytosol [GO:0005829]; small ribosomal subunit [GO:0015935],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],,,,,2
Q8DS21,Q8DS21,reviewed,RL29_STRMU,Large ribosomal subunit protein uL29 (50S ribosomal protein L29),Large ribosomal subunit protein uL29 ,rpmC SMU_2019,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),69,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],,,,,2
Q8DRT8,Q8DRT8,unreviewed,Q8DRT8_STRMU,Succinate semialdehyde dehydrogenase,Succinate semialdehyde dehydrogenase,SMU_2127,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),458,,,aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777],,,,,1
Q59934,Q59934,reviewed,PFL_STRMU,Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate-lyase),Formate acetyltransferase ,pfl SMU_402,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),775,glucose metabolic process [GO:0006006],cytosol [GO:0005829],formate C-acetyltransferase activity [GO:0008861],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,,,3
Q8DSX9,Q8DSX9,reviewed,RL11_STRMU,Large ribosomal subunit protein uL11 (50S ribosomal protein L11),Large ribosomal subunit protein uL11 ,rplK rl11 SMU_1627,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),141,translation [GO:0006412],large ribosomal subunit [GO:0015934],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],,,,,2
P72484,P72484,reviewed,TPIS_STRMU,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),Triosephosphate isomerase ,tpiA tpi SMU_715,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),252,gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096],cytosol [GO:0005829],triose-phosphate isomerase activity [GO:0004807],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00147}.,,,3
Q8DS12,Q8DS12,reviewed,EFTS_STRMU,Elongation factor Ts (EF-Ts),Elongation factor Ts ,tsf SMU_2031,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),348,,cytoplasm [GO:0005737],translation elongation factor activity [GO:0003746],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00050}.,,,2
Q8DS28,Q8DS28,reviewed,RL6_STRMU,Large ribosomal subunit protein uL6 (50S ribosomal protein L6),Large ribosomal subunit protein uL6 ,rplF SMU_2011,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),178,cytoplasmic translation [GO:0002181],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DTP5,Q8DTP5,reviewed,RL19_STRMU,Large ribosomal subunit protein bL19 (50S ribosomal protein L19),Large ribosomal subunit protein bL19 ,rplS rl19 SMU_1288,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),115,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],,,,,2
Q8DWB9,Q8DWB9,unreviewed,Q8DWB9_STRMU,Aldehyde-alcohol dehydrogenase,Aldehyde-alcohol dehydrogenase,adhE SMU_148,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),889,alcohol metabolic process [GO:0006066]; carbon utilization [GO:0015976],,acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872],,,,,2
Q8DTF9,Q8DTF9,unreviewed,Q8DTF9_STRMU,RNA helicase,RNA helicase,SMU_1388,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),360,ribosomal large subunit assembly [GO:0000027],cytosol [GO:0005829],ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724],,,,,1
Q8DUQ4,Q8DUQ4,reviewed,RL27_STRMU,Large ribosomal subunit protein bL27 (50S ribosomal protein L27),Large ribosomal subunit protein bL27 ,rpmA SMU_849,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),97,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],,,,,2
Q8DUH2,Q8DUH2,reviewed,RL10_STRMU,Large ribosomal subunit protein uL10 (50S ribosomal protein L10),Large ribosomal subunit protein uL10 ,rplJ SMU_957,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),167,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DS25,Q8DS25,reviewed,RL5_STRMU,Large ribosomal subunit protein uL5 (50S ribosomal protein L5),Large ribosomal subunit protein uL5 ,rplE rl5 SMU_2015,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),180,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],,,,,2
Q8DVD4,Q8DVD4,unreviewed,Q8DVD4_STRMU,Cell division protein DivIVA,Cell division protein DivIVA,divIVA SMU_557,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),271,cell division [GO:0051301],cytoplasm [GO:0005737],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,1
P59125,P59125,reviewed,RS5_STRMU,Small ribosomal subunit protein uS5 (30S ribosomal protein S5),Small ribosomal subunit protein uS5 ,rpsE rs5 SMU_2009,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),164,translation [GO:0006412],cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,3
Q8DTX6,Q8DTX6,reviewed,PFKA_STRMU,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase),ATP-dependent 6-phosphofructokinase ,pfkA pfk SMU_1191,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),337,"canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]",6-phosphofructokinase complex [GO:0005945],6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00339}.,,,4
Q9X670,Q9X670,reviewed,G6PI_STRMU,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),Glucose-6-phosphate isomerase ,pgi gpi SMU_307,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),449,gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096],cytosol [GO:0005829],carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029],,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.,,,3
Q8DS17,Q8DS17,unreviewed,Q8DS17_STRMU,Large ribosomal subunit protein uL4,Large ribosomal subunit protein uL4,rplD SMU_2024c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),207,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DS37,Q8DS37,reviewed,RL17_STRMU,Large ribosomal subunit protein bL17 (50S ribosomal protein L17),Large ribosomal subunit protein bL17 ,rplQ SMU_2000,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),128,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],,,,,2
Q8DS29,Q8DS29,reviewed,RL18_STRMU,Large ribosomal subunit protein uL18 (50S ribosomal protein L18),Large ribosomal subunit protein uL18 ,rplR rl18 SMU_2010,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),118,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DSD7,Q8DSD7,reviewed,RS6_STRMU,Small ribosomal subunit protein bS6 (30S ribosomal protein S6),Small ribosomal subunit protein bS6 ,rpsF rs6 SMU_1860,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),96,translation [GO:0006412],cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DS18,Q8DS18,unreviewed,Q8DS18_STRMU,Small ribosomal subunit protein uS19,Small ribosomal subunit protein uS19,rpsS SMU_2023c,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),92,ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q8DSU0,Q8DSU0,unreviewed,Q8DSU0_STRMU,"ABC transporter, branched chain amino acid-binding protein","ABC transporter, branched chain amino acid-binding protein",livK SMU_1669,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),390,amino acid transport [GO:0006865],,,,,,,1
Q8DS24,Q8DS24,reviewed,RL24_STRMU,Large ribosomal subunit protein uL24 (50S ribosomal protein L24),Large ribosomal subunit protein uL24 ,rplX rl24 SMU_2016,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),101,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,2
Q9XB21,Q9XB21,reviewed,DBH_STRMU,DNA-binding protein HU,DNA-binding protein HU,hup hlpA SMU_589,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),91,chromosome condensation [GO:0030261],cytosol [GO:0005829],DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527],,,,,2
